Frequency,Channel 1,Channel 2,Channel 2
1,0.00273361,-0.138143,-8.92137
1.04713,0.00273422,-0.14985,-9.32662
1.09648,0.00228807,-0.161998,-9.74796
1.14815,0.00254653,-0.175956,-10.1882
1.20226,0.0026232,-0.190509,-10.6483
1.25893,0.00249449,-0.206373,-11.129
1.31826,0.00264075,-0.223623,-11.6263
1.38038,0.0026027,-0.242331,-12.1464
1.44544,0.00266818,-0.262555,-12.6874
1.51356,0.00269635,-0.284808,-13.2528
1.58489,0.00262569,-0.308487,-13.8376
1.65959,0.0025777,-0.33405,-14.448
1.7378,0.00272159,-0.361845,-15.0809
1.8197,0.00237878,-0.391822,-15.7437
1.90546,0.00224536,-0.424482,-16.4306
1.99526,0.0022577,-0.459591,-17.1426
2.0893,0.00213208,-0.497697,-17.8812
2.18776,0.00205382,-0.538963,-18.6447
2.29087,0.00199545,-0.583016,-19.437
2.39883,0.00162205,-0.630874,-20.2595
2.51189,0.00167012,-0.682657,-21.1093
2.63027,0.00160956,-0.737972,-21.9876
2.75423,0.00137697,-0.797972,-22.8941
2.88403,0.00150062,-0.862897,-23.8284
3.01995,0.00112069,-0.931844,-24.793
3.16228,0.000943503,-1.00601,-25.7844
3.31131,0.000718464,-1.08556,-26.805
3.46737,0.000466399,-1.17105,-27.8527
3.63078,0.000651784,-1.26247,-28.9283
3.80189,0.000306355,-1.36009,-30.0285
3.98107,-9.97774e-05,-1.46429,-31.1534
4.16869,-3.51566e-06,-1.5753,-32.3022
4.36516,-0.000157059,-1.69345,-33.4738
4.57088,-0.000283911,-1.81876,-34.6662
4.7863,-0.000657946,-1.95154,-35.879
5.01187,-0.000928829,-2.09234,-37.1069
5.24807,-0.00116608,-2.24101,-38.3521
5.49541,-0.00140134,-2.39807,-39.6111
5.7544,-0.00180744,-2.56344,-40.8793
6.0256,-0.00197098,-2.73742,-42.1584
6.30957,-0.00229118,-2.91981,-43.4415
6.60693,-0.0023715,-3.11111,-44.7309
6.91831,-0.00278497,-3.31056,-46.0226
7.24436,-0.00312058,-3.5192,-47.313
7.58578,-0.00331698,-3.73559,-48.5984
7.94328,-0.00337377,-3.96168,-49.8795
8.31764,-0.00365085,-4.19553,-51.1532
8.70964,-0.0039937,-4.43827,-52.4159
9.12011,-0.00410414,-4.68917,-53.6662
9.54993,-0.00435922,-4.94721,-54.9039
10,-0.00463738,-5.2138,-56.1246
10.4713,-0.0048537,-5.48806,-57.3279
10.9648,-0.00497404,-5.7686,-58.5099
11.4815,-0.00534219,-6.057,-59.673
12.0226,-0.00528878,-6.35197,-60.8135
12.5893,-0.00557948,-6.65287,-61.93
13.1826,-0.00570083,-6.95986,-63.0247
13.8038,-0.00584558,-7.27243,-64.0942
14.4544,-0.00608884,-7.59097,-65.1391
15.1356,-0.00612428,-7.91495,-66.1591
15.8489,-0.00638822,-8.24314,-67.1549
16.5959,-0.00664146,-8.57577,-68.1247
17.378,-0.00668178,-8.91367,-69.0704
18.197,-0.00755229,-9.25537,-69.9861
19.0546,-0.00708647,-9.60067,-70.8819
19.9526,-0.00707738,-9.95036,-71.7536
20.893,-0.00726739,-10.3024,-72.5987
21.8776,-0.0074504,-10.6588,-73.4222
22.9087,-0.00755545,-11.0173,-74.2201
23.9883,-0.00763078,-11.3795,-75.0074
25.1189,-0.0078326,-11.7438,-75.7636
26.3027,-0.00810467,-12.1094,-76.5012
27.5423,-0.00834997,-12.4792,-77.2234
28.8403,-0.00837877,-12.85,-77.9207
30.1995,-0.00865011,-13.222,-78.604
31.6228,-0.00878534,-13.5974,-79.2714
33.1131,-0.00915365,-13.9738,-79.9211
34.6737,-0.00924922,-14.3534,-80.5563
36.3078,-0.00934166,-14.733,-81.1884
38.0189,-0.00979329,-15.1138,-81.7959
39.8107,-0.0098236,-15.4967,-82.3985
41.6869,-0.0102927,-15.88,-82.9866
43.6516,-0.0107955,-16.2659,-83.5631
45.7088,-0.0115645,-16.652,-84.1404
47.863,-0.0125139,-17.0388,-84.7057
50.1187,-0.0131747,-17.4273,-85.2611
52.4807,-0.0138089,-17.8175,-85.8178
54.9541,-0.0148863,-18.2066,-86.3703
57.544,-0.0160138,-18.6001,-86.9107
60.256,-0.0171828,-18.9937,-87.4612
63.0957,-0.0183892,-19.3888,-88.0133
66.0693,-0.0197129,-19.7858,-88.5576
69.1831,-0.0209305,-20.1816,-89.1032
72.4436,-0.0229344,-20.576,-89.6519
75.8578,-0.0276252,-20.9757,-90.2139
79.4328,-0.0506641,-21.3787,-90.7586
83.1764,-0.0961474,-21.7776,-91.3375
87.0964,-0.16411,-22.184,-91.904
91.2011,-0.252602,-22.5866,-92.4861
95.4993,-0.362363,-22.9949,-93.0816
100,-0.505802,-23.4068,-93.6858
104.713,-0.684092,-23.824,-94.3065
109.648,-0.896696,-24.2355,-94.9306
114.815,-1.13929,-24.6554,-95.5498
120.226,-1.41033,-25.0692,-96.2175
125.893,-1.70695,-25.5,-96.9057
131.826,-2.02536,-25.9256,-97.5878
138.038,-2.36425,-26.3535,-98.2985
144.544,-2.7191,-26.7868,-99.0403
151.356,-3.08642,-27.2127,-99.7907
158.489,-3.46229,-27.6629,-100.566
165.959,-3.84338,-28.1281,-101.362
173.78,-4.22762,-28.578,-102.217
181.97,-4.61207,-29.0198,-102.99
190.546,-4.99866,-29.4878,-103.885
199.526,-5.38481,-29.971,-104.802
208.93,-5.77104,-30.4411,-105.64
218.776,-6.15766,-30.8958,-106.708
229.087,-6.54402,-31.3946,-107.669
239.883,-6.93027,-31.9064,-108.569
251.189,-7.31677,-32.4449,-109.739
263.027,-7.70217,-32.9841,-110.786
275.423,-8.0874,-33.5515,-111.877
288.403,-8.47327,-34.1183,-112.988
301.995,-8.85814,-34.7041,-114.396
316.228,-9.24347,-35.3168,-115.521
331.131,-9.62831,-35.9802,-116.796
346.737,-10.013,-36.5421,-118.233
363.078,-10.3968,-37.1781,-119.579
380.189,-10.7803,-37.7891,-120.987
398.107,-11.1628,-38.5581,-122.44
416.869,-11.5464,-39.3054,-124.743
436.516,-11.9269,-40.0734,-126.291
457.088,-12.3077,-40.8251,-128.659
478.63,-12.6876,-41.7923,-131.148
501.187,-13.0676,-42.618,-134.491
524.807,-13.4451,-43.756,-137.097
549.541,-13.8227,-44.8783,-140.33
575.44,-14.1985,-46.0608,-142.597
602.56,-14.5717,-47.3887,-148.461
630.957,-14.9453,-48.5347,-155.544
660.693,-15.3183,-50.1597,-166.02
691.831,-15.6873,-51.4379,-171.995
724.436,-16.0556,-52.8472,173.346
758.578,-16.4225,-53.0743,154.479
794.328,-16.7861,-54.3264,143.269
831.764,-17.1495,-53.814,123.817
870.964,-17.5086,-52.5031,112.218
912.011,-17.8667,-51.1019,102.148
954.993,-18.224,-50.0402,96.3732
1000,-18.5738,-48.8028,89.539
